"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B","GeneName","ENTREZID"
"231875_at","KIF21A",3.34482461410424,3.84783682726515,35.8709590839272,4.08454788938487e-70,3.72204426420196e-66,-3.34482461410424,148.99569608683,"kinesin family member 21A","55605"
"208297_s_at","EVI5",2.01286109785843,4.75901451312121,29.4971630652024,4.21265612847228e-60,1.09679511344868e-56,-2.01286109785843,126.368193568847,"ecotropic viral integration site 5","7813"
"202987_at","TRAF3IP2",1.98423465325997,3.62444829405303,27.3277030945022,2.54660853985337e-56,4.97270792558867e-53,-1.98423465325997,117.779222219384,"TRAF3 interacting protein 2","10758"
"240390_at","GALNT5",3.05709822242341,4.31973524162879,26.828665243662,2.02203770188324e-55,3.35014882880201e-52,-3.05709822242341,115.732450964159,"polypeptide N-acetylgalactosaminyltransferase 5","11227"
"204506_at","PPP3R1",1.90952287329472,6.53603554983333,26.5582836312829,6.28310240905674e-55,9.81510354900507e-52,-1.90952287329472,114.612014386381,"protein phosphatase 3 regulatory subunit B, alpha","5534"
"217878_s_at","CDC27",2.05668143330888,6.90190236467424,26.3238202131583,1.69021985391918e-54,2.56702140313975e-51,-2.05668143330888,113.633811495738,"cell division cycle 27","996"
"218841_at","ASB8",1.75049191223037,6.47722513020455,26.3169535291991,1.74007955729731e-54,2.57132026473596e-51,-1.75049191223037,113.605070023661,"ankyrin repeat and SOCS box containing 8","140461"
"242835_s_at","MAP4K3-DT",1.89210189536035,4.93880334093182,25.269490779883,1.5601387534274e-52,1.85436057268789e-49,-1.89210189536035,109.15789243245,"MAP4K3 divergent transcript","728730"
"229457_at","ANKHD1",2.069719613574,3.97072652593182,25.0310507742099,4.41707969586566e-52,5.03132984107198e-49,-2.069719613574,108.127859826989,"ankyrin repeat and KH domain containing 1","54882"
"1554530_at","VSTM2A",1.99546404016345,3.41881311656818,24.8204286665617,1.11359056913522e-51,1.21771128734937e-48,-1.99546404016345,107.212454322499,"V-set and transmembrane domain containing 2A","222008"
"230117_at","VSTM2A",2.24356598950579,3.25256121189394,24.5095722535891,4.40035166006254e-51,4.45535605581333e-48,-2.24356598950579,105.851839173228,"V-set and transmembrane domain containing 2A","222008"
"224863_at","GNAQ",2.25820318262161,6.35027937894697,24.4603089789395,5.47654008038159e-51,5.44417870717934e-48,-2.25820318262161,105.635161070964,"G protein subunit alpha q","2776"
"215743_at","NMT2",2.42073666797554,4.79024672458333,23.8540454429946,8.2787129342001e-50,7.42030540454738e-47,-2.42073666797554,102.944779989143,"N-myristoyltransferase 2","9397"
"1561146_at","VPS35",1.34657671343886,3.21040872368182,23.4399484113525,5.42515573603418e-49,4.36206455687748e-46,-1.34657671343886,101.081607144744,"VPS35 retromer complex component","55737"
"1556927_at","KCNK10",1.77774640634749,2.98823300966667,23.3205553066776,9.36405067039585e-49,7.31399243434133e-46,-1.77774640634749,100.540523494682,"potassium two pore domain channel subfamily K member 10","54207"
"232330_at","COA1",2.26423099473358,4.32200600284849,23.1247375061293,2.3007259058897e-48,1.77172097048619e-45,-2.26423099473358,99.6492940619498,"cytochrome c oxidase assembly factor 1","55744"
"239650_at","NCKAP5",2.12948273908365,3.05083839148485,22.8489512781743,8.22449194397373e-48,6.07667698698329e-45,-2.12948273908365,98.3860736872926,"NCK associated protein 5","344148"
"215409_at","LPCAT4",2.37912892144015,5.07543942699242,22.8375730815297,8.67002705508187e-48,6.32044972315468e-45,-2.37912892144015,98.3337541735474,"lysophosphatidylcholine acyltransferase 4","254531"
"230200_at","NSUN6",1.99431846822007,6.90657389347727,22.0502406430134,3.46814649293701e-46,2.31245011586989e-43,-1.99431846822007,94.6741624783552,"NOP2/Sun RNA methyltransferase 6","221078"
"225465_at","MAGI1",2.16966170437065,7.35513783178788,21.9075776408703,6.82236006642202e-46,4.28750042105315e-43,-2.16966170437065,94.0027180112332,"membrane associated guanylate kinase, WW and PDZ domain containing 1","9223"
"215658_at","TMEM238L",2.5157200570888,4.51521217062121,21.851167787918,8.92116649341238e-46,5.54278156849229e-43,-2.5157200570888,93.7365150151819,"transmembrane protein 238 like","100289255"
"217951_s_at","PHF3",1.74786244100514,5.48589587579545,21.8364668718074,9.56769564285193e-46,5.87768268845988e-43,-1.74786244100514,93.6670739777189,"PHD finger protein 3","23469"
"227969_at","PCBP1-AS1",2.76213409395881,6.22832101031818,21.6961135716097,1.86850316075187e-45,1.0424531664705e-42,-2.76213409395881,93.0027247632265,"PCBP1 antisense RNA 1","400960"
"216595_at","FAM186A",1.2273415296036,2.91611005877273,21.6709407554672,2.1073749906594e-45,1.14079928330993e-42,-1.2273415296036,92.8833074331529,"family with sequence similarity 186 member A","121006"
"229916_at","ENPP6",1.50905695443372,2.93181739350758,21.5578507223908,3.62151967382679e-45,1.90390950160077e-42,-1.50905695443372,92.3458269045495,"ectonucleotide pyrophosphatase/phosphodiesterase 6","133121"
"236431_at","U2SURP",1.77082223053667,4.06593188405303,21.4284966162272,6.74072519614953e-45,3.38118486329794e-42,-1.77082223053667,91.7290548773249,"U2 snRNP associated SURP domain containing","23350"
"232483_at","MED17",1.74156054810939,4.50587877191667,21.3847401931413,8.32112613400642e-45,4.09871685925046e-42,-1.74156054810939,91.5199381539885,"mediator complex subunit 17","9440"
